en_name,jp_name,cuisine,rating,price,url
koshitsudaininguumekonoie,個室ダイニング ウメ子の家 札幌駅前店,日式小酒館/西式料理/鍋類（其他）,3.03,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005884/
RAKUZO,個室ダイニング 楽蔵 札幌駅前店,日式小酒館/烤雞串/鍋類（其他）,3.03,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005888/
Tachinomiparadaisu,立呑みパラダイス,無座小酒館・酒吧/蕎麥麵/烤雞串,3.48,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1049254/
Ojori,吾照里 札幌エスタ店,韓國料理/日式小酒館/燒肉,3.19,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1041400/
dousanjidoritohonkakutoriryourisemmontentorishin,道産地鶏と本格鳥料理専門店 鳥心 札幌駅前店,日式小酒館/烤雞串/雞肉料理,3.24,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1039099/
shabushabutokachibare,しゃぶしゃぶ 十勝晴れ 札幌東急店,涮涮鍋/豬肉涮涮鍋/定食、食堂,3.26,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1058362/
Source72,Source72,義式/西班牙酒吧、歐風輕食館/洋酒吧,3.5,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1060695/
Hamakko,浜っ子 読売北海道ビル店,魚類料理・海鮮料理/日式小酒館/蒙古烤肉,3.4,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1061233/
puraibe-tokoshitsunikubaruba-demba-den,プライベート個室×肉バル バーデンバーデン 札幌駅前店,日式小酒館/義式/餐飲酒館,3.18,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1040290/
kanamarunouenyasaiizakayarungoka-nibaru,真狩村金丸農園直営 野菜居酒屋ルンゴカーニバル,小酒館・餐飲酒館（其它）,3.23,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1039619/
Miyazakikennichinanshitsukadanoujou,宮崎県日南市 塚田農場 札幌駅北口店,日式小酒館/雞肉料理/炭燒,3.07,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1044051/
Koshitsunikubarunamahamutabehoudainikumarutoukyou,個室×肉バル×生ハム食べ放題 29○ TOKYO 札幌駅前店,日式小酒館/義式/餐飲酒館,3.07,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1055715/
taishuusumibiyakinikujingisukanhorumonsakabafuudo,大衆炭火焼肉ジンギスカン ホルモン酒場 風土. 札幌駅前店,燒肉/蒙古烤肉/烤內臟,3.46,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1028121/
Yamanosaru,山の猿 札幌駅北口店,日式小酒館/烤雞串/魚類料理・海鮮料理,3.03,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1003573/
Hakatagyouzayarokumarusan,博多餃子舎 603 札幌駅前店,日式小酒館/餃子/大腸火鍋,3.4,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1030383/
Sumibiyakitokaisentedukuritoufumaido,炭火焼と海鮮 手づくり豆富 まいど！ 札幌駅南口店,日式小酒館/魚類料理・海鮮料理/烤雞串,3.16,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010102/1059489/
CIRCO,CIRCO,義式/日式小酒館/披薩,3.47,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1030539/
pafeko-hi-sakesatou,パフェ、珈琲、酒、佐藤 大丸札幌店,咖啡店/聖代/霜淇淋,3.35,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1068584/
BLOGAD,ブロガド,巴西料理/西式自助餐/餐飲酒館,3.46,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1046674/
ginzatenichi,銀座天一 札幌東急店,天婦羅/炸蝦丼飯・炸蝦便當/日式料理（其他）,3.11,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005355/
Yakitoriodenzen,やきとり・おでん 然,日式小酒館/鍋類（其他）/關東煮,3.47,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1004496/
GLACIEL,グラッシェル 札幌ステラプレイス店,冰淇淋/聖代/咖啡店,3.47,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1054411/
Ebisuba,エビスバー 札幌アピア店,西班牙酒吧、歐風輕食館/西式料理/餐飲酒館,3.25,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1048280/
Koshitsuhokkaidoukiwamishokuzaikagoya,個室×北海道極食材　籠家 札幌駅南口本店,日式小酒館/魚類料理・海鮮料理/鍋類（其他）,3.05,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1058897/
Mark Matsuoka Grill,Mark Matsuoka Grill 札幌,義式/義大利麵/牛排,3.16,"￥6,000～￥7,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1071837/
minatomachinomonkichi,港町のモンキチ,日式小酒館/魚類料理・海鮮料理/日本酒,3.54,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1053262/
Hokkairamen,北海らーめん 札幌駅前店,中國菜/拉麵,3.28,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1024890/
Tempurashinjukutsunahachi,天ぷら新宿つな八 札幌店,天婦羅/魚類料理・海鮮料理/日式小酒館,3.19,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1020888/
Temma,天馬 札幌ステラプレイス店,湯咖哩/咖哩飯,3.33,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1046453/
MAISEN,とんかつ まい泉 さっぽろ東急レストラン,炸豬排/和式餐馆 / 小菜/日式小酒館,3.11,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1007790/
KALDI COFFEE FARM,カルディコーヒーファーム 札幌アピア店,其他,3.15,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1052222/
Ichiniisan,いちにいさん 札幌ステラプレイス,涮涮鍋/日式料理（其他）,3.35,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002795/
Foshizun,フォーシーズン,牛排/便當,3.31,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1031732/
Chegoya,チェゴヤ 札幌東急店,韓國料理/韓國鍋/燒肉,3.16,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1007921/
Hoterushokora,ホテルショコラ 札幌ステラプレイス店,巧克力,3.08,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1066254/
Bisutorokobarahetta,ビストロ コバラヘッタ 札幌店,法式/法式小酒館,3.23,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1003227/
En,ｅｎ 札幌東急店,烤雞串/日式炸雞塊,3.24,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1043311/
Gyuukaku,牛角 札幌ステラプレイス店,燒肉/日式小酒館,3.06,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002465/
resutoranandoba-sukaijei,レストラン＆バー｢SKY J｣ ＪＲタワーホテル日航札幌,西式自助餐/西式料理/中國菜,3.49,"￥6,000～￥7,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1000434/
Kakiyasudainingu,柿安ダイニング 大丸札幌店,西式料理・歐式料理（其他）,3.14,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029364/
Hambagutawaraya,ハンバーグ 俵屋 大丸札幌店,漢堡,3.19,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1028352/
BEARD PAPA'S,ビアード・パパ 札幌エスタ店,西式甜點（其他）,3.12,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1010341/
Hyakumisensai,百味千菜 札幌東急店,飯糰/便當,3.23,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1040882/
Ramennohouryuu,ラーメンの寳龍 アピア店,拉麵/餃子,3.45,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1006249/
CHEESE RESTAURANT RICOTTA,チーズレストラン リコッタ  札幌ステラプレイス店,西式料理・歐式料理（其他）,3.25,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1066829/
uokichi,魚吉 札幌駅前本店,日式小酒館/魚類料理・海鮮料理/螃蟹,3.26,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1039050/
Donq Mini One,ドンク・ミニワン 札幌大丸店,麵包/麵包、三明治（其他）,3.21,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029551/
SNOW CHEESE,SNOW CHEESE,西式甜點（其他）,3.41,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1070926/
chayu-chainathi-hausu,茶語 チャイナティーハウス 大丸札幌店,中國茶專賣店/咖啡店/甜點（其他）,3.43,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1006096/
Kabenoana,壁の穴 札幌ステラプレイス店,義大利麵/義式/西班牙酒吧、歐風輕食館,3.09,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1061633/
sobadokorobensaitei,そば処 弁菜亭,蕎麥麵/烏龍麵/便當,3.27,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029252/
Dammayasuisan,だんまや水産 札幌北口店,日式小酒館/魚類料理・海鮮料理/和式餐馆 / 小菜,3.04,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1044151/
Barikiya,ばりきや 札幌駅前店,拉麵/沾麵,3.49,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1004845/
Enikaitamochisutando,えにかいたもちSTAND,日式點心,3.08,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1071689/
IppuudouKAY,一風堂KAY,拉麵,3.46,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1069369/
Daishousuisan,大庄水産 札幌・読売北海道ビル店,日式小酒館/海鮮蓋飯/魚類料理・海鮮料理,3.11,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1040205/
Sanrumu,さんるーむ 大丸札幌店,天然食品,3.09,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002250/
Shirakabasansou,白樺山荘 札幌ら～めん共和国店,拉麵,3.41,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1001201/
Eitoraisufirudokafe,エイトライスフィールドカフェ,餐飲酒館/義式,3.13,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1038906/
RONDO,スカイレストラン ロンド,法式/牛排/義大利麵,3.46,"￥6,000～￥7,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002161/
Rojiura Curry SAMURAI.,Rojiura Curry SAMURAI. 札幌駅アピア,湯咖哩,3.12,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1065396/
GATEAU FESTA HARADA,ガトーフェスタ ハラダ 大丸札幌店,西式甜點（其他）/甜點（其他）,3.13,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1048429/
Sutattsuone,スタッツィオーネ,義式/義大利麵/披薩,3.19,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002906/
SOURCE06,SOURCE06,義式/義大利麵/三明治,3.47,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1063719/
shigepan,しげぱん エスタ店,麵包,3.17,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1071931/
Sakanaisshinsouzaitei,魚一心惣菜亭 東急さっぽろ店,日式料理（其他）/壽司/定食、食堂,3.28,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1038622/
Ajisai,あじさい 札幌エスタ店,拉麵,3.42,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1025592/
Reinbeikusyoppu,レインベイクショップ Sapporo Station,西式甜點（其他）/甜點（其他）,3.38,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1066643/
DOUTOR COFFEE,ドトールコーヒーショップ 札幌エスタ地下店,咖啡店/三明治/蛋糕,3.12,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1016339/
tenshinsapporokouga,点心札幌 黄河 エスタ店,便當/中國菜,3.39,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029243/
okonomiyakiyakisobafuugetsu,お好み焼・焼そば 風月 エスタ店,大阪燒/炒麵/文字燒,3.06,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010102/1028573/
YUTORINO KUKAN,ゆとりの空間 大丸札幌店,咖啡店/日式料理（其他）/定食、食堂,3.2,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1001998/
burukube-kari-,ブルクベーカリー 東急百貨店,麵包,3.38,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1059026/
Rakkyo,ラッキョ 札幌エスタ店,湯咖哩,3.54,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1056045/
Tsuruhashifuugetsu,鶴橋風月 大丸札幌店,大阪燒/炒麵/鐵板燒,3.07,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005162/
Minorudainingu,みのるダイニング 札幌ステラプレイス店,餐飲酒館,3.35,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1065014/
hokkaidousu-pusutando,北海道スープスタンド 札幌エスタ店,湯,3.28,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1053764/
Miyagawahonten,宮川本廛 大丸札幌店,饅魚,3.54,"￥5,000～￥5,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005954/
Kamaei,かま栄 札幌東急店,其他,3.14,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1031108/
ISHIYA,イシヤ 東急さっぽろ店,蛋糕,3.13,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1040852/
Kimuchikan,沈菜館 大丸札幌店,韓國料理,3.05,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1041509/
zadon,ザ・どん 札幌駅エスタ地下街店,海鮮蓋飯/炸豬丼飯・炸豬排便當/親子丼飯,3.16,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1003945/
Nadamanchuubou,なだ万厨房 大丸札幌店,便當/日式料理（其他）,3.05,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1033730/
Sobadokorobensaitei,そば処 弁菜亭 エスタ店,蕎麥麵/站著吃蕎麥麵/烏龍麵,3.31,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1048478/
ajidokorojimbaori,味処　陣羽織,日式小酒館/定食、食堂/親子丼飯,3.36,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1015918/
Hitokuchigyouzatenten,ひとくち餃子点天 大丸札幌店,其他/餃子,3.17,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1027652/
nikujirugyouzanodandadan,肉汁餃子のダンダダン 札幌店,餃子/日式小酒館/定食、食堂,3.22,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010102/1064036/
hyakunanajuugododenotantammen,175°DENO 担担麺 札幌南口店,拉麵/担担麵/日式小酒館,3.48,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1056227/
ra-menshodai,らーめん初代 札幌らーめん共和国店,拉麵,3.45,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1045137/
Sushidokorohokusai,すし処 北斎,壽司/日本酒,3.56,"￥8,000～￥9,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1000969/
tonkatsuwakou,とんかつ和幸 ステラプレイス札幌店,炸豬排,3.07,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1030023/
Sanjeruman,サンジェルマン,喫茶店/咖啡店,3.26,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1019968/
Makudonarudo,マクドナルド 札幌アピア店,漢堡,3.19,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1005019/
Tonkatsutamafuji,とんかつ玉藤 札幌エスタ店,炸豬排,3.37,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002311/
Teppanyakiitou,鉄板焼 伊藤,鐵板燒/無國籍料理/魚類料理・海鮮料理,3.36,"￥15,000～￥19,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1008101/
Shirokumabekari,シロクマベーカリー スタンド,三明治/麵包/甜點（其他）,3.42,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1052977/
Shijan,シジャン 札幌ステラプレイス店,韓國料理/冷麵,3.06,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1035764/
Sobakikou,蕎麦紀行,蕎麥麵,3.44,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1006917/
Chizuoukoku,チーズ王国 大丸札幌店,其他,3.17,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1041609/
Kurukurusushi,くるくる寿し,回轉壽司/壽司/其他,3.48,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005951/
tenshinsapporohounoya,点心札幌 包の家 東急百貨店さっぽろ店,飲茶・點心/餃子,3.24,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1031109/
Sapporokaniya,札幌かに家 大丸札幌店,壽司/螃蟹/海鮮蓋飯,3.03,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1045169/
Tama,たま アピア店,烤雞串/日式小酒館/串炸・串豬排,3.36,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1063612/
Kitakarou,北菓楼 札幌エスタ店,西式甜點（其他）/日式點心,3.17,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1009635/
Kamaei,かま栄 札幌エスタ店,其他,3.18,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1035888/
sukairesutorantanchou,スカイレストラン「丹頂」 ＪＲタワーホテル日航札幌,懷石 / 會席料理/魚類料理・海鮮料理/日式料理（其他）,3.47,"￥8,000～￥9,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005557/
Gu,和惣本家 グゥー エスタ札幌店,熟食,3.31,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1053300/
DAVID DOUGHNUTS,DAVID DOUGHNUTS 札幌エスタ店,甜甜圈/西式甜點（其他）,3.23,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1070557/
Biennale,ビエンナーレ,便當/熟食,3.35,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1052978/
Tokachidaimyousofutokurimu,十勝大名ソフトクリーム,霜淇淋/鯛魚燒・大判燒,3.41,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1055502/
Sumiyakirobatakushiro,炭焼炉ばた くし路 新北海道ビル店,爐端燒/日式小酒館,3.38,"￥5,000～￥5,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1004824/
Kitakarou,北菓楼 大丸札幌店,蛋糕/年輪蛋糕,3.24,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1008440/
Tonkatsutamafuji,とんかつ玉藤 エスタ大食品街店,便當,3.19,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029246/
